frame,time_seconds,flash_offset,x,y,width,height,pixel_count,raw_length,encoded_length,record_length,decoded_crc32
0,0.0,5120,64,40,45,48,2160,4320,2466,2482,F59B36F0
1,0.03333333333333333,7602,77,53,1,1,1,2,3,19,EAF4962E
2,0.06666666666666667,7621,82,57,28,29,812,1624,1031,1047,2B7B192D
3,0.1,8668,62,40,48,48,2304,4608,2466,2482,933F17A5
4,0.13333333333333333,11150,62,40,46,48,2208,4416,2468,2484,B1D823A6
5,0.16666666666666666,13634,60,40,46,48,2208,4416,2487,2503,410724FA
6,0.2,16137,60,40,44,48,2112,4224,2399,2415,012C6B3F
7,0.23333333333333334,18552,64,48,4,4,16,32,33,49,AD3E31BC
8,0.26666666666666666,18601,59,41,45,47,2115,4230,2359,2375,020B9A98
9,0.3,20976,59,41,44,47,2068,4136,2258,2274,45276943
10,0.3333333333333333,23250,64,55,29,20,580,1160,903,919,862430A7
11,0.36666666666666664,24169,59,42,43,45,1935,3870,2190,2206,AFD448FC
12,0.4,26375,59,42,44,46,2024,4048,2203,2219,5F6C434D
13,0.43333333333333335,28594,93,48,2,2,4,8,9,25,61695294
14,0.4666666666666667,28619,59,40,44,47,2068,4136,2254,2270,61E25BAF
15,0.5,30889,60,40,44,48,2112,4224,2331,2347,2C8BD1D3
16,0.5333333333333333,33236,59,40,45,48,2160,4320,2411,2427,B591552A
17,0.5666666666666667,35663,57,40,47,48,2256,4512,2422,2438,C7B582C6
18,0.6,38101,61,54,40,34,1360,2720,1647,1663,48177549
19,0.6333333333333333,39764,61,63,8,24,192,384,213,229,3E30FA23
20,0.6666666666666666,39993,57,40,48,48,2304,4608,2434,2450,0B17FF35
21,0.7,42443,59,40,47,48,2256,4512,2419,2435,02D80B06
22,0.7333333333333333,44878,62,40,45,48,2160,4320,2300,2316,27913F06
23,0.7666666666666667,47194,63,40,45,48,2160,4320,2259,2275,7A06655C
24,0.8,49469,64,41,44,47,2068,4136,2231,2247,7C06FD56
25,0.8333333333333334,51716,0,0,0,0,0,0,0,16,00000000
26,0.8666666666666667,51732,64,41,45,47,2115,4230,2131,2147,D8C2AA8F
27,0.9,53879,68,53,39,25,975,1950,1222,1238,B4DC9C4A
28,0.9333333333333333,55117,65,42,44,45,1980,3960,2068,2084,444D317E
29,0.9666666666666667,57201,65,42,44,46,2024,4048,2156,2172,C5DFC832
30,1.0,59373,64,40,44,48,2112,4224,2225,2241,4D9F519A
31,1.0333333333333334,61614,0,0,0,0,0,0,0,16,00000000
32,1.0666666666666667,61630,64,40,44,47,2068,4136,2249,2265,7E1400C8
33,1.1,63895,64,40,44,48,2112,4224,2300,2316,4E26EB0E
34,1.1333333333333333,66211,64,40,45,48,2160,4320,2466,2482,E5075CDB
35,1.1666666666666667,68693,70,54,40,33,1320,2640,1640,1656,4709A284
36,1.2,70349,62,40,48,48,2304,4608,2470,2486,3864068C
37,1.2333333333333334,72835,75,56,1,1,1,2,3,19,248DC5F6
38,1.2666666666666666,72854,61,40,47,48,2256,4512,2470,2486,B32E7534
39,1.3,75340,60,40,47,48,2256,4512,2465,2481,60FCA059
40,1.3333333333333333,77821,60,40,44,48,2112,4224,2411,2427,5AF850F4
41,1.3666666666666667,80248,59,41,45,47,2115,4230,2364,2380,92E665FF
42,1.4,82628,59,41,44,47,2068,4136,2259,2275,F80E6B37
43,1.4333333333333333,84903,65,49,29,39,1131,2262,1556,1572,5B0C43E9
44,1.4666666666666666,86475,62,55,31,32,992,1984,1395,1411,ADA4831C
45,1.5,87886,59,42,43,46,1978,3956,2221,2237,F02E44DB
46,1.5333333333333334,90123,59,42,44,46,2024,4048,2196,2212,8EAC0EB1
47,1.5666666666666667,92335,59,40,44,48,2112,4224,2277,2293,73C65C70
48,1.6,94628,60,40,44,48,2112,4224,2341,2357,59C17458
49,1.6333333333333333,96985,94,49,1,1,1,2,3,19,218C4994
50,1.6666666666666667,97004,58,40,46,48,2208,4416,2391,2407,D857FFB7
51,1.7,99411,57,40,47,48,2256,4512,2426,2442,F8C87B65
52,1.7333333333333334,101853,69,54,34,34,1156,2312,1423,1439,A2BFC5DC
53,1.7666666666666666,103292,57,40,48,48,2304,4608,2421,2437,B94A82A8
54,1.8,105729,59,40,47,48,2256,4512,2405,2421,E28980D5
55,1.8333333333333333,108150,69,44,17,13,221,442,327,343,229FD276
56,1.8666666666666667,108493,62,40,45,48,2160,4320,2293,2309,22439831
57,1.9,110802,63,40,45,48,2160,4320,2267,2283,FB7FE2B2
58,1.9333333333333333,113085,64,41,44,47,2068,4136,2231,2247,22EF862F
59,1.9666666666666666,115332,64,41,45,47,2115,4230,2121,2137,D1C291AC
60,2.0,117469,76,56,31,32,992,1984,1203,1219,F35CB698
61,2.033333333333333,118688,76,69,27,11,297,594,209,225,70776370
62,2.066666666666667,118913,65,42,44,45,1980,3960,2071,2087,D9EAF7CE
63,2.1,121000,65,42,44,46,2024,4048,2173,2189,4739C132
64,2.1333333333333333,123189,64,40,44,48,2112,4224,2219,2235,8B343F89
65,2.1666666666666665,125424,64,40,44,48,2112,4224,2261,2277,1A3A4F5A
66,2.2,127701,64,40,44,48,2112,4224,2320,2336,D5CF9F50
67,2.2333333333333334,130037,80,45,1,1,1,2,3,19,0DAC6EC0
68,2.2666666666666666,130056,64,40,45,48,2160,4320,2471,2487,539EC10A
69,2.3,132543,66,59,44,28,1232,2464,1501,1517,844513DE
70,2.3333333333333335,134060,62,40,48,48,2304,4608,2448,2464,FD7F75BC
71,2.3666666666666667,136524,62,40,46,48,2208,4416,2455,2471,41452DCB
72,2.4,138995,60,40,47,48,2256,4512,2469,2485,3587BECC
73,2.433333333333333,141480,68,87,1,1,1,2,3,19,621319D8
74,2.466666666666667,141499,60,40,44,48,2112,4224,2399,2415,6F81E280
75,2.5,143914,59,41,45,47,2115,4230,2380,2396,F7CA7427
76,2.533333333333333,146310,59,41,44,47,2068,4136,2262,2278,C512E048
77,2.566666666666667,148588,64,55,28,20,560,1120,875,891,6585C752
78,2.6,149479,59,42,43,45,1935,3870,2192,2208,E7780A36
